id,nucleation,Dc,fluid_pressure,mu_s,R,should_run, queued, submission_date,finish_date,run_time,cpu_hours,stored2sdl,stored2sdl_date,stored2sdl_dataset,stored2sdl_dataproduct
1,1,0.4,60.00%,0.35,0.65,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
2,1,0.4,60.00%,0.35,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
3,1,0.4,60.00%,0.35,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
4,1,0.4,60.00%,0.35,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
5,1,0.4,60.00%,0.35,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
6,1,0.4,60.00%,0.4,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
7,1,0.4,60.00%,0.4,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
8,1,0.4,60.00%,0.4,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
9,1,0.4,60.00%,0.4,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
10,1,0.4,60.00%,0.45,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
11,1,0.4,60.00%,0.45,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
12,1,0.4,60.00%,0.45,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
13,1,0.4,60.00%,0.45,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
14,1,0.4,60.00%,0.5,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
15,1,0.4,60.00%,0.5,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
16,1,0.4,60.00%,0.5,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
17,1,0.4,60.00%,0.5,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
18,1,0.4,60.00%,0.55,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
19,1,0.4,60.00%,0.55,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
20,1,0.4,60.00%,0.55,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
21,1,0.4,60.00%,0.55,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
22,1,0.4,60.00%,0.6,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
23,1,0.4,60.00%,0.6,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
24,1,0.4,60.00%,0.6,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
25,1,0.4,60.00%,0.6,0.95,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
26,1,0.4,70.00%,0.35,0.65,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
27,1,0.4,70.00%,0.35,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
28,1,0.4,70.00%,0.35,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
29,1,0.4,70.00%,0.35,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
30,1,0.4,70.00%,0.35,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
31,1,0.4,70.00%,0.4,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
32,1,0.4,70.00%,0.4,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
33,1,0.4,70.00%,0.4,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
34,1,0.4,70.00%,0.4,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
35,1,0.4,70.00%,0.45,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
36,1,0.4,70.00%,0.45,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
37,1,0.4,70.00%,0.45,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
38,1,0.4,70.00%,0.45,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
39,1,0.4,70.00%,0.5,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
40,1,0.4,70.00%,0.5,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
41,1,0.4,70.00%,0.5,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
42,1,0.4,70.00%,0.5,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
43,1,0.4,70.00%,0.55,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
44,1,0.4,70.00%,0.55,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
45,1,0.4,70.00%,0.55,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
46,1,0.4,70.00%,0.55,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
47,1,0.4,70.00%,0.6,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
48,1,0.4,70.00%,0.6,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
49,1,0.4,70.00%,0.6,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
50,1,0.4,70.00%,0.6,0.95,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
51,1,0.3,60.00%,0.35,0.65,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
52,1,0.3,60.00%,0.35,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
53,1,0.3,60.00%,0.35,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
54,1,0.3,60.00%,0.35,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
55,1,0.3,60.00%,0.35,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
56,1,0.3,60.00%,0.4,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
57,1,0.3,60.00%,0.4,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
58,1,0.3,60.00%,0.4,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
59,1,0.3,60.00%,0.4,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
60,1,0.3,60.00%,0.45,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
61,1,0.3,60.00%,0.45,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
62,1,0.3,60.00%,0.45,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
63,1,0.3,60.00%,0.45,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
64,1,0.3,60.00%,0.5,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
65,1,0.3,60.00%,0.5,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
66,1,0.3,60.00%,0.5,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
67,1,0.3,60.00%,0.5,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
68,1,0.3,60.00%,0.55,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
69,1,0.3,60.00%,0.55,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
70,1,0.3,60.00%,0.55,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
71,1,0.3,60.00%,0.55,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
72,1,0.3,60.00%,0.6,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
73,1,0.3,60.00%,0.6,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
74,1,0.3,60.00%,0.6,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
75,1,0.3,60.00%,0.6,0.95,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
76,1,0.3,70.00%,0.35,0.65,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
77,1,0.3,70.00%,0.35,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
78,1,0.3,70.00%,0.35,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
79,1,0.3,70.00%,0.35,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
80,1,0.3,70.00%,0.35,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
81,1,0.3,70.00%,0.4,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
82,1,0.3,70.00%,0.4,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
83,1,0.3,70.00%,0.4,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
84,1,0.3,70.00%,0.4,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
85,1,0.3,70.00%,0.45,0.75,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
86,1,0.3,70.00%,0.45,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
87,1,0.3,70.00%,0.45,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
88,1,0.3,70.00%,0.45,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
89,1,0.3,70.00%,0.5,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
90,1,0.3,70.00%,0.5,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
91,1,0.3,70.00%,0.5,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
92,1,0.3,70.00%,0.5,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
93,1,0.3,70.00%,0.55,0.7,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
94,1,0.3,70.00%,0.55,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
95,1,0.3,70.00%,0.55,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
96,1,0.3,70.00%,0.55,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
97,1,0.3,70.00%,0.6,0.8,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
98,1,0.3,70.00%,0.6,0.85,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
99,1,0.3,70.00%,0.6,0.9,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
100,1,0.3,70.00%,0.6,0.95,True,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,
